id,nombreViaje,imagenPrincipal,tipoEstancia,ubicacion,precioPorNoche
1,Central Apartamento de 2 habitaciones,img/h1.1.webp,ApartaHotel,Helsinki,104
2,Apartamento en el centro,img/h2.1.webp,ApartaHotel,Helsinki,112
3,Acogedora cabaña de madera con sauna,img/h3.1.webp,Cabaña,Helsinki,80
4,Iglú de nieve,img/l1.1.webp,Iglú,Laponia,130
5,Casa de campo tranquila con sauna cerca del lago,img/l2.1.webp,Cabaña,Laponia,119
6,Elegante apartamento en el centro de la ciudad,img/l3.1.webp,ApartaHotel,Laponia,150
7,Hulppe Sauna Center Apartment,img/t1.1.webp,ApartaHotel,Tampere,175
8,Piso con ubicación céntrica 2br sauna y terraza,img/t2.1.webp,ApartaHotel,Tampere,159
9,Estudio Deluxe,img/t3.1.webp,ApartaHotel,Tampere,115
10,Habitación glamurosa en el casco antiguo,img/p1.1.webp,Hotel,Praga,139
11,Habitación cuádruple en Archibald At the Charles Bridge,img/p2.1.webp,Hotel,Praga,143
12,Habitación céntrica con vistas al mercado Havelské tržiště,img/p3.1.webp,Hotel,Praga,115
13,Habitación en The Big One - Long Story Short,img/p3.1.webp,Hotel,Moravia,148
14,Habitación para 2 huéspedes sin balcón,img/m2.1.webp,Hotel,Moravia,154
15,Apartamento low cost,img/m3.1.webp,ApartaHotel, Moravia,96
16,Apartamento con jardín,img/b1.1.webp,ApartaHotel,Bohemia,170
17,Cabaña histórica con piscina cubierta,img/b2.1.webp,Cabaña,Bohemia,103
18,Miniapartamento a las afueras,img/b3.1.webp,ApartaHotel,Bohemia,101
19,Bungalow de 3 camas,img/z1.1.webp,Cabaña,Zamzíbar,95
20,Habitación cerca del puerto aéreo,img/z2.1.webp,Hotel,Zamzíbar,95
21,Apartamento de 2 dormitorios,img/z3.1.webp,ApartaHotel,Zamzíbar,142

